epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7739081382751465,0.802413821220398,0.001,0.9234179854393005,0.22757460176944733
1,0.8997485041618347,0.31552058458328247,0.001,0.9388452768325806,0.18654903769493103
2,0.9205440282821655,0.2475716918706894,0.001,0.9527944326400757,0.15098212659358978
3,0.9341031312942505,0.20881979167461395,0.001,0.9163048267364502,0.2791288495063782
4,0.9401693344116211,0.18645508587360382,0.001,0.9441108703613281,0.16737817227840424
5,0.9436900019645691,0.17591454088687897,0.001,0.9372748136520386,0.20013996958732605
6,0.9498280882835388,0.1594245731830597,0.001,0.9653579592704773,0.11197976022958755
7,0.953574538230896,0.1477256417274475,0.001,0.9615704417228699,0.12095841020345688
8,0.9553707838058472,0.1412840336561203,0.001,0.9515011310577393,0.1564704030752182
9,0.9574852585792542,0.13270248472690582,0.001,0.9635103940963745,0.12053816765546799
10,0.9600410461425781,0.12543293833732605,0.001,0.9522401690483093,0.16397494077682495
11,0.9613445997238159,0.12367308884859085,0.001,0.9527944326400757,0.14929433166980743
12,0.964259684085846,0.1134711503982544,0.001,0.9678521752357483,0.0980461835861206
13,0.9650089740753174,0.110267773270607,0.001,0.9694226384162903,0.10376708209514618
14,0.9659327864646912,0.1079375147819519,0.001,0.9751501083374023,0.07621535658836365
15,0.9672055244445801,0.1032535657286644,0.001,0.9620323181152344,0.11373694986104965
16,0.9674108028411865,0.10238858312368393,0.001,0.9586142897605896,0.1323443204164505
17,0.9690120816230774,0.09767864644527435,0.001,0.9572286605834961,0.1375492960214615
18,0.9691762924194336,0.09785662591457367,0.001,0.9684988260269165,0.09888733923435211
19,0.9715678691864014,0.09147798269987106,0.001,0.977829098701477,0.0700853168964386
20,0.9706851243972778,0.0921551063656807,0.001,0.9672979116439819,0.10333461314439774
21,0.9719271063804626,0.08877481520175934,0.001,0.9490993022918701,0.16319714486598969
22,0.9724711179733276,0.0870448425412178,0.001,0.958244800567627,0.13945956528186798
23,0.973189651966095,0.08238601684570312,0.001,0.9650808572769165,0.11523450165987015
24,0.9735899567604065,0.08360380679368973,0.001,0.9676674604415894,0.10403548181056976
25,0.9740107655525208,0.08325977623462677,0.001,0.9627713561058044,0.12361258268356323
26,0.9741852879524231,0.0808834657073021,0.001,0.9686836004257202,0.10364239662885666
27,0.9781678318977356,0.06846107542514801,0.000100000005,0.9738568067550659,0.0875612124800682
28,0.9804157018661499,0.06255703419446945,0.000100000005,0.9759815335273743,0.07703346014022827
