epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6614542007446289,1.1478463411331177,0.001,0.9065155982971191,0.26595231890678406
1,0.8602833151817322,0.43203744292259216,0.001,0.9194334149360657,0.2423449456691742
2,0.8937739729881287,0.3274625837802887,0.001,0.9464022517204285,0.1680924892425537
3,0.9115517735481262,0.2752452790737152,0.001,0.9558073878288269,0.1384200006723404
4,0.9229084253311157,0.23874038457870483,0.001,0.9495750665664673,0.15841315686702728
5,0.932212769985199,0.21489477157592773,0.001,0.9452691078186035,0.18108342587947845
6,0.9352848529815674,0.20464931428432465,0.001,0.9656656980514526,0.10090459138154984
7,0.9407743215560913,0.18584074079990387,0.001,0.9677053689956665,0.09965652972459793
8,0.9446144104003906,0.17426809668540955,0.001,0.9720113277435303,0.09816937148571014
9,0.9450424909591675,0.17142820358276367,0.001,0.9694051146507263,0.10651940107345581
10,0.9500283002853394,0.1600182056427002,0.001,0.9735977053642273,0.07945235818624496
11,0.9525338411331177,0.15145818889141083,0.001,0.9611331224441528,0.13246841728687286
12,0.9534655213356018,0.1449117213487625,0.001,0.9742776155471802,0.08870064467191696
13,0.9548252820968628,0.14285463094711304,0.001,0.9796034097671509,0.07019542902708054
14,0.9569278955459595,0.13728183507919312,0.001,0.9355241060256958,0.23481686413288116
15,0.9584010243415833,0.13266368210315704,0.001,0.9699716567993164,0.10781098902225494
16,0.9601762890815735,0.1278117150068283,0.001,0.9657790660858154,0.12881146371364594
17,0.9595089554786682,0.13023631274700165,0.001,0.9769971966743469,0.08052275329828262
18,0.9615108370780945,0.12201869487762451,0.001,0.9682719707489014,0.10794487595558167
19,0.9627321362495422,0.11969080567359924,0.001,0.9768838286399841,0.08061712235212326
20,0.9637267589569092,0.11483748257160187,0.001,0.9675920605659485,0.1154293417930603
21,0.9700345993041992,0.0941675677895546,0.000100000005,0.9798300266265869,0.07485037297010422
22,0.9733585119247437,0.0845131129026413,0.000100000005,0.9766572117805481,0.09025370329618454
